,datetime,open,high,low,close,volume,volumeCcy
153,2022-02-25 00:30:00,2625.55,2625.55,2601.71,2606.3,10053.591142,26271523.621173
154,2022-02-25 00:15:00,2612.02,2630.43,2606.01,2625.6,14771.697063,38663650.859446
155,2022-02-25 00:00:00,2597,2616.89,2590.41,2611.79,15268.662787,39751512.657856
156,2022-02-24 23:45:00,2598.94,2603.24,2593.94,2597,5014.795061,13026472.635428
157,2022-02-24 23:30:00,2587.81,2598.87,2583.01,2598.87,7412.523311,19207419.61959
158,2022-02-24 23:15:00,2589.21,2595.1,2581.01,2588.1,7060.901023,18257834.231467
159,2022-02-24 23:00:00,2566.2,2592.04,2566.2,2589.79,9243.815409,23832503.98337
160,2022-02-24 22:45:00,2577.2,2584,2545.21,2566.16,12717.404102,32606550.342499
161,2022-02-24 22:30:00,2605.01,2605.02,2567.66,2578.87,8514.164613,22005398.013092
162,2022-02-24 22:15:00,2630.21,2632.44,2605.15,2605.15,4653.181273,12206679.350361
163,2022-02-24 22:00:00,2635.61,2643.41,2620.61,2631.04,9525.681344,25038597.490395
164,2022-02-24 21:45:00,2633.4,2646.89,2623.53,2636.2,15511.555591,40883631.075669
165,2022-02-24 21:30:00,2637.6,2638.5,2620.02,2633.31,12313.603039,32340309.293273
166,2022-02-24 21:15:00,2646,2646.03,2631.81,2637.37,9588.951251,25297319.698291
167,2022-02-24 21:00:00,2648.7,2654.14,2630.57,2646.56,13713.491555,36215801.898747
168,2022-02-24 20:45:00,2632.64,2655.4,2631.44,2648.57,20498.484601,54206243.92523
169,2022-02-24 20:30:00,2639.19,2661.43,2628.07,2632.46,26407.636363,69892959.323071
170,2022-02-24 20:15:00,2678.91,2701.28,2634.76,2638.14,42620.98124,114036631.484684
171,2022-02-24 20:00:00,2596.74,2738.39,2596.74,2678.95,89808.125788,239853205.549513
172,2022-02-24 19:45:00,2569.2,2599.12,2559.83,2596.74,18548.707905,47827618.866015
173,2022-02-24 19:30:00,2535.41,2575.05,2535.41,2571.68,27757.787309,70994451.053632
174,2022-02-24 19:15:00,2527.51,2546.68,2524.2,2536.38,23218.148436,58883430.609389
175,2022-02-24 19:00:00,2526.29,2538.5,2515,2527.56,20471.39374,51685513.142843
176,2022-02-24 18:45:00,2470.9,2555.02,2465.76,2526.29,42212.459726,106242629.836524
177,2022-02-24 18:30:00,2438.25,2479.29,2433.39,2470.33,15706.594251,38585016.997383
178,2022-02-24 18:15:00,2454.75,2458.04,2436.4,2439.29,10442.915794,25542066.638333
179,2022-02-24 18:00:00,2435.15,2455.91,2433.88,2454.63,17970.766886,43923499.074058
180,2022-02-24 17:45:00,2433.26,2445.74,2430.41,2435.45,11603.042311,28285157.410152
181,2022-02-24 17:30:00,2441.27,2453.7,2432.27,2433.41,14160.404407,34595802.677047
182,2022-02-24 17:15:00,2442.82,2449.27,2434.59,2441.58,12433.419387,30356257.299675
183,2022-02-24 17:00:00,2474.82,2476.74,2442.15,2443.85,12385.934835,30458698.014832
184,2022-02-24 16:45:00,2462.11,2478.39,2451.44,2475.35,13101.058766,32295150.742342
185,2022-02-24 16:30:00,2471.06,2480.79,2457.21,2462.3,16204.660412,40024307.926911
186,2022-02-24 16:15:00,2471.66,2489.45,2466.32,2470.98,13102.330212,32474406.159417
187,2022-02-24 16:00:00,2455.08,2480.61,2451.2,2472.2,19959.262073,49184225.758037
188,2022-02-24 15:45:00,2435.61,2465.73,2433.61,2455.69,21589.777253,52926745.007241
189,2022-02-24 15:30:00,2438.21,2454.92,2425.03,2435.92,17044.236732,41562363.41058
190,2022-02-24 15:15:00,2457,2474.77,2437.2,2438.22,19993.503107,49086171.802591
191,2022-02-24 15:00:00,2436.78,2460.85,2416.81,2456.54,29711.256281,72395318.80306
192,2022-02-24 14:45:00,2393.67,2444.19,2390.7,2438.47,27275.122572,66170546.859895
193,2022-02-24 14:30:00,2379.17,2434.31,2376.28,2393.64,35763.744718,86241985.600207
194,2022-02-24 14:15:00,2393.22,2394.9,2376.77,2378.6,12369.644369,29505094.80552
195,2022-02-24 14:00:00,2392.55,2407.4,2388.01,2393.6,14923.39461,35776839.035451
196,2022-02-24 13:45:00,2344.38,2402.4,2320.23,2393.66,3648026.595679,8552442034.62674
197,2022-02-24 13:30:00,2344.38,2344.38,2320.23,2344.38,4025868.470242,9438164637.44385
198,2022-02-24 13:15:00,2344.38,2344.38,2320.22,2344.38,4059192.301438,9516289082.640333
199,2022-02-24 13:00:00,2344.38,2344.38,2320,2344.38,4091267.361296,9591485133.380186
200,2022-02-24 12:45:00,2344.38,2344.38,2320,2344.38,4062439.581066,9523901350.518346
201,2022-02-24 12:30:00,2344.38,2344.38,2320.22,2344.38,4058438.115671,9514521134.50778
202,2022-02-24 12:15:00,2344.38,2344.38,2320.22,2344.38,4051313.407726,9497817952.094622
203,2022-02-24 12:00:00,2344.38,2344.38,2316.92,2344.38,4057068.645804,9511309957.061052
204,2022-02-24 11:45:00,2344.38,2344.38,2316.92,2344.38,4067696.543298,9536225381.424882
205,2022-02-24 11:30:00,2340.11,2344.38,2320.22,2344.38,2246511.012392,5266653894.481846
206,2022-02-24 11:15:00,2344.38,2344.38,2316.92,2341.3,3726186.076243,8735595124.964141
207,2022-02-24 11:00:00,2344.38,2344.38,2316.92,2344.38,4085420.821187,9577778680.668594
208,2022-02-24 10:45:00,2344.38,2344.38,2320.22,2344.38,4078336.696343,9561170916.999431
209,2022-02-24 10:30:00,2342.41,2344.38,2333.33,2344.38,3983895.712357,9339762670.582311
210,2022-02-24 10:15:00,2350.84,2351.29,2334.82,2342.21,1756365.157023,4117626232.277001
211,2022-02-24 10:00:00,2366.22,2374.2,2313.33,2350,2872687.623698,6797420934.125883
212,2022-02-24 09:45:00,2377.76,2381.35,2365.91,2366.22,2907169.905622,6891716192.796369
213,2022-02-24 09:30:00,2408.1,2408.63,2370.79,2377.2,8324.847099,19914322.550417
214,2022-02-24 09:15:00,2390.8,2410.51,2390.61,2407.98,4526.064584,10878320.221308
215,2022-02-24 09:00:00,2383,2398.46,2373.01,2390.8,7967.912015,19020689.648204
216,2022-02-24 08:45:00,2368.03,2391.14,2366.01,2382.5,16337.169422,38866307.73172
217,2022-02-24 08:30:00,2383.15,2392.2,2366.01,2369.28,14199.677989,33742449.271544
218,2022-02-24 08:15:00,2403,2405.8,2375.6,2383.15,123209.477204,294061798.174835
219,2022-02-24 08:00:00,2370.07,2420.19,2366,2403.05,86402.326195,207831069.065418
220,2022-02-24 07:45:00,2353.2,2398.13,2349.61,2370.5,141003.078783,334747225.598138
221,2022-02-24 07:30:00,2321.54,2356.38,2302.01,2354.74,25990.306555,60447534.14691
222,2022-02-24 07:15:00,2323.28,2330.99,2316.66,2321.8,14317.956347,33276082.131469
223,2022-02-24 07:00:00,2341.8,2348.61,2321.14,2323.5,15757.639315,36741965.653184
224,2022-02-24 06:45:00,2345.99,2355.6,2337.99,2342.13,13651.587019,32032161.036521
225,2022-02-24 06:30:00,2339.66,2349.78,2331.91,2345.73,15137.452752,35401901.107961
226,2022-02-24 06:15:00,2347.85,2355.51,2338.13,2339.4,11907.42708,27909571.465944
227,2022-02-24 06:00:00,2334.8,2354.48,2328.94,2347.83,14926.997495,34976137.072196
228,2022-02-24 05:45:00,2310.94,2342.46,2303.99,2334.5,86418.145791,200289464.685246
229,2022-02-24 05:30:00,2350.07,2353.34,2310.01,2310.66,79715.161999,184986367.59105
230,2022-02-24 05:15:00,2375.64,2381.36,2350.01,2350.02,13141.234945,31115662.090136
231,2022-02-24 05:00:00,2403.28,2407.46,2369,2376.84,14857.878065,35461031.391282
232,2022-02-24 04:45:00,2394.9,2403.7,2389.18,2403.32,138784.121971,332377910.759945
233,2022-02-24 04:30:00,2383,2409.76,2374.83,2393.9,124038.666277,296022143.877424
234,2022-02-24 04:15:00,2387.2,2393,2358.49,2383.01,160055.546232,380600810.66894
235,2022-02-24 04:00:00,2414.57,2414.7,2373.31,2386.58,140214.663811,335824356.275305
236,2022-02-24 03:45:00,2421.05,2431.77,2390.93,2415.4,129172.137355,311772436.959797
237,2022-02-24 03:30:00,2446.66,2457.93,2419.76,2422.45,81140.913153,197690298.214188
238,2022-02-24 03:15:00,2461.34,2473.58,2442,2446.66,138075.489464,339806404.096156
239,2022-02-24 03:00:00,2497.19,2500.4,2450.82,2461.41,117513.817938,290073371.199624
240,2022-02-24 02:45:00,2573.8,2576.5,2496.99,2496.99,42039.809301,106012037.747406
241,2022-02-24 02:30:00,2566.01,2573.79,2564.71,2573.79,5442.858161,13980392.539752
242,2022-02-24 02:15:00,2565.45,2575.98,2565.45,2566.39,7670.75365,19720789.551184
243,2022-02-24 02:00:00,2571.59,2576.15,2563.01,2565.41,5845.467125,15008533.041297
244,2022-02-24 01:45:00,2565.8,2576.05,2564,2571.5,9011.574927,23150137.22826
245,2022-02-24 01:30:00,2550.98,2567.55,2549.17,2565.71,9639.930919,24672129.885933
246,2022-02-24 01:15:00,2566,2566.19,2548.99,2551.17,7177.88283,18365213.604204
247,2022-02-24 01:00:00,2563.01,2571.2,2563.01,2566.01,9226.434891,23681749.413785
248,2022-02-24 00:45:00,2570.01,2574.67,2562.93,2563.17,9069.96554,23281259.507701
249,2022-02-24 00:30:00,2580.1,2580.1,2566,2570.67,13557.207755,34851253.573615
250,2022-02-24 00:15:00,2586.02,2592.59,2576.55,2580.33,8360.402212,21609585.825214
251,2022-02-24 00:00:00,2579.81,2591.89,2566.48,2586.02,16407.065105,42301411.772463
252,2022-02-23 23:45:00,2597.12,2597.57,2577.39,2579.42,7836.687115,20303688.334004
253,2022-02-23 23:30:00,2590.02,2599.93,2584.03,2596.79,8480.687419,21982611.206471
254,2022-02-23 23:15:00,2584.37,2596.5,2578.96,2590.02,15029.7934,38889445.598446
255,2022-02-23 23:00:00,2636.49,2636.49,2584.34,2584.8,9298.670042,24294013.406024
256,2022-02-23 22:45:00,2625,2637.98,2623.21,2636.45,3449.414671,9075461.404718
257,2022-02-23 22:30:00,2620.15,2636.66,2619.38,2626.34,3866.395102,10159524.014929
258,2022-02-23 22:15:00,2607.81,2621.74,2597.7,2620.73,7158.188085,18672733.884859
259,2022-02-23 22:00:00,2616.31,2625.75,2603.03,2606.89,4838.507652,12653931.059705
260,2022-02-23 21:45:00,2614.26,2625.75,2613.41,2617.66,4737.105481,12407777.202589
261,2022-02-23 21:30:00,2629.21,2629.24,2608.92,2614.26,3806.664128,9972760.040302
262,2022-02-23 21:15:00,2626.7,2634.13,2626.21,2630.19,2158.236233,5678232.691852
263,2022-02-23 21:00:00,2622.53,2627.25,2616.21,2627.01,4185.080205,10973453.558337
264,2022-02-23 20:45:00,2625.21,2629.93,2620.01,2622.49,8461.568011,22208915.839937
265,2022-02-23 20:30:00,2634.2,2640.08,2621.71,2626.25,8715.935807,22921690.250049
266,2022-02-23 20:15:00,2619,2636.61,2616.21,2634.84,9554.379382,25083268.256922
267,2022-02-23 20:00:00,2631.96,2632.04,2609.81,2619.27,8706.401346,22790329.58825
268,2022-02-23 19:45:00,2620.28,2637.86,2620.28,2633.3,1385225.309693,3638753987.448996
269,2022-02-23 19:30:00,2643.48,2646.99,2620.21,2620.28,778950.411344,2055665721.818938
270,2022-02-23 19:15:00,2654.7,2661.85,2640.11,2643.48,932014.472149,2464915907.200578
271,2022-02-23 19:00:00,2649.16,2660,2640.02,2655.43,9252.96294,24533470.488031
272,2022-02-23 18:45:00,2647.46,2659.57,2644.71,2649.08,9838.165493,26094278.523735
273,2022-02-23 18:30:00,2641.21,2651.06,2638.21,2647.66,7085.763463,18749464.605635
274,2022-02-23 18:15:00,2643.34,2657.57,2640.41,2641.91,9225.999347,24449018.951709
275,2022-02-23 18:00:00,2667.08,2668.79,2641.26,2643.24,10733.576011,28516354.447183
276,2022-02-23 17:45:00,2694.02,2698,2663.52,2667.06,11849.086413,31739468.172587
277,2022-02-23 17:30:00,2718.82,2719.9,2691.81,2694.26,7659.304309,20689340.998005
278,2022-02-23 17:15:00,2712.02,2730.72,2712.02,2719.92,10203.215373,27780730.206733
279,2022-02-23 17:00:00,2711.41,2712.02,2704.4,2712.02,4800.751853,13002657.154409
280,2022-02-23 16:45:00,2709.27,2715.99,2705.42,2711.72,6179.734803,16751766.367272
281,2022-02-23 16:30:00,2691,2712.79,2688.51,2709.43,7173.346169,19405647.021399
282,2022-02-23 16:15:00,2682.4,2697.61,2678.51,2690.98,6012.440652,16160634.251486
283,2022-02-23 16:00:00,2688.21,2698.49,2678.01,2682.92,8943.743206,24030251.574125
284,2022-02-23 15:45:00,2689.62,2696.33,2684.76,2688.24,7742.206655,20831849.165541
285,2022-02-23 15:30:00,2687.6,2697.39,2685.4,2689.5,7730.051174,20813863.018631
286,2022-02-23 15:15:00,2704.57,2705.39,2686.3,2687.35,11641.749592,31382483.433665
287,2022-02-23 15:00:00,2707,2707.9,2693.54,2704.21,13400.189242,36200015.293898
288,2022-02-23 14:45:00,2730.65,2735.32,2703.41,2706.9,11749.313537,31958274.099166
289,2022-02-23 14:30:00,2727.3,2736.63,2720.02,2729.31,12947.27188,35333491.382826
